transaction_id,customer_id,product_name,category,amount,quantity,transaction_date,status,region,amount_had_negative
101,CUST6644,1b9bc7b7376e6c5c0f1042dfdd42ac68017d8cee72988967d7c670d40c466c85,Groceries,1347.86,7,2024-05-18,COMPLETED,North,0
102,CUST8745,643aa97e949c9c353aaff710e5adddb2017ecf3ae9d5cf563bc85c18e5d3aa2c,Furniture,1652.85,8,2024-07-06,COMPLETED,Central,0
103,CUST7119,6c455f5e6343aad487017e00afd6e0b8ba5b3f2adc65ed8d9de409844a7def13,Groceries,926.4,9,2024-03-19,COMPLETED,West,0
104,CUST9194,f816a74c2310179d8785838dfadd3f6fdaf7e857cce144acd6433199c8fa53d3,Furniture,194.45,5,2024-03-19,COMPLETED,North,0
105,CUST2071,2e5a38b444f293beaebfa8dc591eae9ffb528ecbffe1b876aeae34e6a12e10e8,Electronics,1481.07,4,2024-11-24,COMPLETED,South,0
106,CUST7685,8189b8409b18b1ef215ec2f2d8da515cdc7cc21a4b7cd35482b66bede2275d02,Groceries,1761.08,10,2024-06-13,COMPLETED,North,0
107,CUST8113,e155ec294b8d6651edb44cdf076b10da94971a3c882d1cf2a28750a1c051eb78,Clothing,962.83,5,2024-08-14,COMPLETED,South,0
108,CUST1904,b5efa9ec3f5f8d45fc05aa5c0a835177e24211b8fda91dd28f258f765f3edb27,Clothing,757.79,9,2024-11-17,COMPLETED,South,0
109,CUST7368,f816a74c2310179d8785838dfadd3f6fdaf7e857cce144acd6433199c8fa53d3,Furniture,825.84,9,2024-06-02,COMPLETED,North,0
110,CUST2296,2e5a38b444f293beaebfa8dc591eae9ffb528ecbffe1b876aeae34e6a12e10e8,Electronics,638.62,10,2024-03-26,COMPLETED,Central,0
111,CUST7223,dc34efd49ed738bf4500db367292164166989cb15773026e9e185b78292bbc89,Clothing,1276.53,4,2024-07-16,COMPLETED,South,0
112,CUST4027,4e84b8359beaed1f56f2925ad1cab0486441525f195f640c7a81545bd1eb3039,Clothing,1540.29,2,2024-08-18,COMPLETED,South,0
113,CUST2059,86df32cf524cade04ae84fff930d96d10f8a66fd1822200416cd8f11e842160e,Electronics,1123.68,6,2024-08-13,COMPLETED,West,0
114,CUST7292,a6f10bde1cb3b4d0c3a51b3bf3746c41920093f27b8c5a9f438e31903810099e,Books,1465.24,2,2024-01-22,COMPLETED,North,0
115,CUST6452,16d1c9050a0b32e83764a81d801a880773abedfd7f8b0b08a1cd87ca0e404f12,Furniture,687.85,5,2024-02-02,COMPLETED,North,0
116,CUST1834,1b9bc7b7376e6c5c0f1042dfdd42ac68017d8cee72988967d7c670d40c466c85,Groceries,850.35,8,2024-02-22,COMPLETED,East,0
117,CUST9096,16d1c9050a0b32e83764a81d801a880773abedfd7f8b0b08a1cd87ca0e404f12,Furniture,810.26,4,2024-04-25,COMPLETED,South,0
118,CUST6420,6c455f5e6343aad487017e00afd6e0b8ba5b3f2adc65ed8d9de409844a7def13,Groceries,1584.53,7,2024-10-01,COMPLETED,Central,0
119,CUST5111,e074763cb375d9abd33d16d13586d68714c4a9c215cbd3391f7706c038403b4b,Clothing,915.13,6,2024-03-25,COMPLETED,West,0
120,CUST3423,e882154bb2efd87356681a6ed0485cb51511d9e61f17235aebd7830fbe91e1c0,Groceries,946.3,2,2024-02-08,COMPLETED,South,0
121,CUST7999,1b9bc7b7376e6c5c0f1042dfdd42ac68017d8cee72988967d7c670d40c466c85,Groceries,1875.17,5,2024-06-08,COMPLETED,North,0
122,CUST4473,e34a879c8b8b67effd9e14878e1443829419cf2aba09a03252d2a4f137e49941,Electronics,633.82,9,2024-09-11,COMPLETED,Central,0
123,CUST6266,6c455f5e6343aad487017e00afd6e0b8ba5b3f2adc65ed8d9de409844a7def13,Groceries,936.67,9,2024-11-20,COMPLETED,Central,0
124,CUST3085,63dceb8800b2dd4af9567a1f54f03b7c3dbdc27fac4799091ebfcc4928899ee5,Electronics,98.01,10,2024-09-10,COMPLETED,Central,0
125,CUST3180,f1c1f57728f932efde20e53703ee5f96b1cebdc15b8578b7faa727c89dbfe03f,Groceries,471.74,9,2024-08-01,COMPLETED,Central,0
126,CUST3746,dc34efd49ed738bf4500db367292164166989cb15773026e9e185b78292bbc89,Clothing,1832.78,8,2024-03-04,COMPLETED,Central,0
127,CUST1239,f816a74c2310179d8785838dfadd3f6fdaf7e857cce144acd6433199c8fa53d3,Furniture,1953.85,7,2024-12-31,COMPLETED,North,0
128,CUST5318,a6f10bde1cb3b4d0c3a51b3bf3746c41920093f27b8c5a9f438e31903810099e,Books,493.75,2,2024-05-21,COMPLETED,North,0
129,CUST3448,dc34efd49ed738bf4500db367292164166989cb15773026e9e185b78292bbc89,Clothing,1236.75,8,2024-11-04,COMPLETED,South,0
130,CUST5807,210e51e019366706681f12e78b4f8396fb598b04074eb44faf0a8ad6a6930a70,Furniture,1465.58,4,2024-07-31,COMPLETED,Central,0
131,CUST9558,e155ec294b8d6651edb44cdf076b10da94971a3c882d1cf2a28750a1c051eb78,Clothing,535.86,10,2024-12-13,COMPLETED,East,0
132,CUST6984,942dbeda91719a578e95f5d395aee8f7d9f4dcfbcfd27b18e61e9685d6fcad24,Books,620.22,4,2024-02-21,COMPLETED,North,0
133,CUST4976,643aa97e949c9c353aaff710e5adddb2017ecf3ae9d5cf563bc85c18e5d3aa2c,Furniture,1794.46,1,2024-09-28,COMPLETED,Central,0
134,CUST9842,e34a879c8b8b67effd9e14878e1443829419cf2aba09a03252d2a4f137e49941,Electronics,1937.87,4,2024-05-17,COMPLETED,West,0
135,CUST4139,e882154bb2efd87356681a6ed0485cb51511d9e61f17235aebd7830fbe91e1c0,Groceries,99.31,1,2024-08-19,COMPLETED,Central,0
136,CUST3384,f56648cd7573460b58fb9642f7e660b6d095ef1e7235f65464f6a3df763728de,Furniture,1415.64,5,2024-07-28,COMPLETED,East,0
137,CUST7084,e34a879c8b8b67effd9e14878e1443829419cf2aba09a03252d2a4f137e49941,Electronics,80.96,9,2024-02-14,COMPLETED,South,0
138,CUST1345,15af50a07d8a67856f62249fbb016130df248453189ff665c863634ef7a76bfd,Electronics,1527.07,9,2024-09-18,COMPLETED,South,0
139,CUST4419,2e5a38b444f293beaebfa8dc591eae9ffb528ecbffe1b876aeae34e6a12e10e8,Electronics,106.76,4,2024-01-16,COMPLETED,South,0
140,CUST9865,643aa97e949c9c353aaff710e5adddb2017ecf3ae9d5cf563bc85c18e5d3aa2c,Furniture,1229.3,6,2024-07-05,COMPLETED,West,0
141,CUST3841,643aa97e949c9c353aaff710e5adddb2017ecf3ae9d5cf563bc85c18e5d3aa2c,Furniture,194.09,3,2024-10-19,COMPLETED,East,0
142,CUST1374,210e51e019366706681f12e78b4f8396fb598b04074eb44faf0a8ad6a6930a70,Furniture,479.25,2,2024-08-21,COMPLETED,North,0
143,CUST3230,15af50a07d8a67856f62249fbb016130df248453189ff665c863634ef7a76bfd,Electronics,72.42,6,2024-01-07,COMPLETED,Central,0
144,CUST5341,f1c1f57728f932efde20e53703ee5f96b1cebdc15b8578b7faa727c89dbfe03f,Groceries,746.94,8,2024-03-14,COMPLETED,North,0
145,CUST5944,e882154bb2efd87356681a6ed0485cb51511d9e61f17235aebd7830fbe91e1c0,Groceries,182.95,2,2024-09-09,COMPLETED,South,0
146,CUST5172,e155ec294b8d6651edb44cdf076b10da94971a3c882d1cf2a28750a1c051eb78,Clothing,1551.48,3,2024-04-09,COMPLETED,North,0
147,CUST8773,a6f10bde1cb3b4d0c3a51b3bf3746c41920093f27b8c5a9f438e31903810099e,Books,184.13,5,2024-06-23,COMPLETED,South,0
148,CUST4426,e34a879c8b8b67effd9e14878e1443829419cf2aba09a03252d2a4f137e49941,Electronics,618.66,5,2024-02-01,COMPLETED,South,0
149,CUST2313,4e84b8359beaed1f56f2925ad1cab0486441525f195f640c7a81545bd1eb3039,Clothing,859.38,3,2024-07-22,COMPLETED,South,0
150,CUST4223,a6f10bde1cb3b4d0c3a51b3bf3746c41920093f27b8c5a9f438e31903810099e,Books,610.48,1,2024-05-10,COMPLETED,East,0
151,CUST8596,e34a879c8b8b67effd9e14878e1443829419cf2aba09a03252d2a4f137e49941,Electronics,424.51,2,2024-07-23,COMPLETED,West,0
152,CUST5160,2e5a38b444f293beaebfa8dc591eae9ffb528ecbffe1b876aeae34e6a12e10e8,Electronics,1357.77,8,2024-01-09,COMPLETED,East,0
153,CUST9343,b5efa9ec3f5f8d45fc05aa5c0a835177e24211b8fda91dd28f258f765f3edb27,Clothing,893.02,9,2024-01-09,COMPLETED,South,0
154,CUST8311,f816a74c2310179d8785838dfadd3f6fdaf7e857cce144acd6433199c8fa53d3,Furniture,887.71,2,2024-04-19,COMPLETED,North,0
155,CUST3399,0e769600933790607b2a13b33ddfade0fa17810eb62c3b28ee23e59516516491,Books,433.82,6,2024-01-23,COMPLETED,South,0
156,CUST5612,1b9bc7b7376e6c5c0f1042dfdd42ac68017d8cee72988967d7c670d40c466c85,Groceries,1153.65,4,2024-09-09,COMPLETED,South,0
157,CUST5990,942dbeda91719a578e95f5d395aee8f7d9f4dcfbcfd27b18e61e9685d6fcad24,Books,465.14,4,2024-02-11,COMPLETED,West,0
158,CUST7837,6c455f5e6343aad487017e00afd6e0b8ba5b3f2adc65ed8d9de409844a7def13,Groceries,559.44,7,2024-12-21,COMPLETED,West,0
